€200 bill,200
€100 bill,100
€50 bill,50
€20 bill,20
€10 bill,10
€5 bill,5
Two Euro coin,2
One Euro coin,1
Fifty Euro cent coin,0.5
Twenty Euro cent coin,0.2
Ten Euro cent coin,0.1
Five Euro cent coin,0.05
Two Euro cent coin,0.02
One Euro cent coin,0.01
