£50 bill,50
£20 bill,20
£10 bill,10
£5 bill,5
Two Pound coin,2
One Pound coin,1
Fifty Pennce,0.5
Twenty Pennce,0.2
Ten Pennce,0.1
Five Pennce,0.05
Two Pennce,0.02
One Penny,0.01
